quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2024Q4,1.7679590486939578,317.2491941128918,4.555636450357912,23340.17532435086,29330.91704688098,2911.6530071602037,1452.3459335476555,3193.624672022079,4200.004985345108,29586.854649862093,4.456567597469717,317.2491941128918,0.158002607514334,519.1130680398078,0.3377388889956102,0.36418092872161845,4394.708194691664,-695.7034213279653,-1006.3803133230294,RL-FRB/US Agent without Tariff
2025Q1,2.073302125766342,319.318708372281,4.604851532225709,23461.467484617802,29601.783460799626,2933.5859551001163,1480.3888623887824,3225.980053037042,4283.138421126318,29790.83717832829,4.106928687764196,319.318708372281,0.158002607514334,530.9018169698077,0.3377388889956102,0.36418092872161845,4479.679807588234,-755.4908459276019,-1057.1583680892754,RL-FRB/US Agent without Tariff
2025Q2,2.288586819499109,321.5838083185143,4.584806353641844,23596.086238971246,29904.290546747652,2962.34834489519,1505.7784818501395,3266.258145045249,4365.803388402163,30006.88587999375,3.8416458976807246,321.5838083185143,0.158002607514334,542.1292918098077,0.3377388889956102,0.36418092872161845,4564.655117723566,-800.1803766937746,-1099.5452433569144,RL-FRB/US Agent without Tariff
2025Q3,2.3013097121372783,323.9541370874691,4.532026403596398,23732.232262237863,30222.223443021532,2999.8539376328854,1530.810704067239,3315.3512767996735,4443.027233640253,30228.56133215325,3.5906457136735797,323.9541370874691,0.158002607514334,552.4596663498078,0.3377388889956102,0.36418092872161845,4642.096673837341,-821.0201933182389,-1127.6759568405796,RL-FRB/US Agent without Tariff
2025Q4,2.312988350878087,326.33755121345786,4.463934752261209,23869.86073695265,30546.098851562307,3044.1393889523674,1555.129958695174,3372.2407959869906,4523.855883124837,30450.3369646543,3.352452515382702,326.33755121345786,0.158002607514334,561.9217164598078,0.3377388889956102,0.36418092872161845,4712.250112162854,-821.391231536667,-1151.6150871378468,RL-FRB/US Agent without Tariff
2026Q1,2.3148836149524725,328.6411993517584,4.396432899208471,24008.40110505726,30866.830124799453,3096.0436410048187,1574.4669137600786,3434.18097712369,4603.9397125504,30668.50304272768,3.1871063993122206,328.6411993517584,0.158002607514334,570.5938208298078,0.3377388889956102,0.36418092872161845,4775.878753446991,-808.0225113856534,-1169.7587354267102,RL-FRB/US Agent without Tariff
2026Q2,2.31928726947887,330.89484418787197,4.330373112816711,24148.01140705597,31187.289669620997,3156.80807238293,1589.5338859259612,3500.5805716601994,4680.527667731512,30880.045571088598,3.0930922552709625,330.89484418787197,0.158002607514334,578.5469422598078,0.3377388889956102,0.36418092872161845,4835.684878274065,-783.4908456322739,-1179.947096071313,RL-FRB/US Agent without Tariff
2026Q3,2.3200515023683232,333.128594443292,4.263497403284961,24288.479956422994,31509.855513544513,3223.6065222234456,1602.863447806834,3570.9551649323316,4752.792754667157,31082.209539308504,3.0070979554700563,333.128594443292,0.158002607514334,585.8618357898076,0.3377388889956102,0.36418092872161845,4891.933550460851,-748.7554378920511,-1181.8375897348255,RL-FRB/US Agent without Tariff
2026Q4,2.3175648833653337,335.37280557236585,4.193575435470594,24429.613740521207,31837.063321151396,3293.6462196093926,1615.7297124742024,3644.8298716323166,4821.1279410022335,31273.140116993793,2.9276079365004803,335.37280557236585,0.158002607514334,592.6118297398077,0.3377388889956102,0.36418092872161845,4946.069502450526,-707.1502878298581,-1176.298069369917,RL-FRB/US Agent without Tariff
2027Q1,2.330607952146903,337.6580750787795,4.117447553442385,24572.36884961606,32173.29099562279,3364.776766725842,1627.8662636383144,3721.9622717862444,4886.717135583684,31429.92392408887,2.921257947261075,337.6580750787795,0.158002607514334,532.9626039412701,0.3377388889956102,0.36418092872161845,4999.177199445632,-580.680766817331,-1164.7548637974392,RL-FRB/US Agent without Tariff
