quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,personal_tax_rates,corporate_tax_rates,exports,imports,trade_balance,net_foreign_investment_income,debt_to_gdp,interest_rate,transfer_payments_ratio,federal_expenditures,government_transfer_payments,federal_surplus,ten_year_treasury_bond_rate,simulation_type
2008Q2,2.349916538373264,212.70828657183657,5.390344477850427,16796.964983482212,14534.12663307213,1605.6062713481485,240.19538636644913,0.1439672180788532,0.16715400933710817,1872.6098627370616,2624.737507504802,-689.2362887607629,161.16912029591126,5916.502593018108,2.0903125,0.122002220583853,867.2932365889895,1975.834593863576,-709.8557610645557,4.096189669581986,FRB/US FTPL
2008Q3,-2.1423252012311873,215.98407049594294,6.082583477277306,16707.244058727407,14563.158520903356,1548.7548582448153,225.14905214569387,0.1435885670604547,0.16387833860420123,1887.4809853415456,2651.575236343945,-684.235766253278,179.85736838863747,6426.326354593535,1.9575,0.122497535789656,877.4043420591296,1769.3388201474363,-560.3518324658475,4.056205135815962,FRB/US FTPL
2008Q4,-8.895557073745408,211.02831294957838,6.938219786774169,16339.794431422915,14276.693170773717,1505.6722727722508,134.0842606120302,0.1437342353784689,0.1612855166693575,1668.1336655931002,2278.2103509228846,-600.0698462291058,100.3019871372011,6998.509339377873,0.534032258064516,0.122996764946469,886.689440433608,1736.155535934339,-628.2496734352028,3.728608667322286,FRB/US FTPL
2009Q1,-4.629852189336248,209.50137793720256,8.362546814951378,16151.757676149155,14100.04861868559,1261.7700011772454,133.5541982841934,0.14436193990903376,0.15958812427256,1481.9847850463584,1889.9432740986392,-379.073780866836,124.10015008862716,7412.723609920129,0.18704918033700285,0.12349978368454,897.8680990308897,1845.7153776786888,-1022.171737596247,3.2358550253462646,FRB/US FTPL
2009Q2,-0.7211503189708424,210.5994499447201,9.361649706834019,16122.664296903944,14049.94332776371,1183.4876554465736,153.9454789736709,0.14356438503021277,0.15649664907805796,1489.9760433306483,1837.298714849172,-331.5300325011408,126.11455908043858,7736.12140145977,0.17859375,0.12400646050365,920.7233450114038,1976.8101289445315,-1227.9098007704783,3.662636859240994,FRB/US FTPL
2009Q3,1.3902801403652632,212.3606924349537,9.691805882166856,16178.799344649353,14114.172045662248,1180.6972932651624,161.1476361631239,0.14316438526823866,0.1536048791051337,1560.9101322765482,1973.4030726487358,-349.23875659485344,184.52192524431527,8111.222122561764,0.154615384615385,0.124516663149986,929.8746841077462,2001.4601623563851,-1242.9634470323738,3.825082624135859,FRB/US FTPL
2009Q4,4.2643892687657114,214.0041485664222,9.99806032603401,16352.20377804946,14307.835208514896,1191.2007340220173,191.72702482626983,0.14353645022888523,0.15153095191749003,1666.1868613651584,2127.499358815738,-390.90807770783704,177.25578951380152,8419.383345591576,0.118709677419355,0.125030266622286,946.192753484922,1998.411343896129,-1198.131298668385,3.6982034346467167,FRB/US FTPL
2010Q1,1.9039263017020858,214.31234707962417,9.905121576490322,16430.222785961676,14415.740948384257,1240.197901876888,204.30281962728716,0.14344551632224364,0.14913198688233908,1720.1758196040605,2217.3158867506477,-395.97460238259345,206.01184760784082,8857.85648331199,0.13672131147541,0.125547153632512,955.9735158966928,2107.7603500788,-1279.3069043099536,3.879378378783582,FRB/US FTPL
2010Q2,3.7980278556801745,214.2075249244943,9.735696283723213,16586.97188967099,14622.53546758756,1268.3117847921994,210.46487894397896,0.1439066178126457,0.14757308184478532,1777.6067433791313,2307.838303061243,-430.4861445855043,208.51232340110923,9187.621262595838,0.191875,0.126067212730275,966.0935449405873,2112.73563484888,-1253.1716566655662,3.6309767576095746,FRB/US FTPL
2010Q3,2.9750098724974805,214.80814956702287,9.557928993345316,16710.797810856307,14774.550689922025,1322.826923091287,225.9024417965188,0.14517920639725704,0.14749537159440498,1832.7717272236175,2374.1124226453785,-449.2756948998607,200.20298300218525,9568.645965725196,0.1884375,0.126590343725849,963.3386811849446,2136.410197896705,-1224.738736872924,2.9095104835081855,FRB/US FTPL
